ID,Name,Category1,Category,Currency,Deadline,Goal,Launched,Pledged2,Outcome,Backers,Country,USDPledged1,Pledged,GoalReal,Duration
1020520678,Breathe,Documentary,Film & Video,USD,2017,30000,2017,100,Failed,1,US,0,100,30000,22
1020521649,The Greys Movie,Animation,Film & Video,USD,2014,40000,2014,4,Failed,2,US,4,4,40000,30
1020525028,Day of the Dead Marilyn Monroe Calavera Vinyl Stickers,Illustration,Art,USD,2015,250,2015,999,Successful,69,US,999,999,250,14
1020528773,Jagneaux's Crafts (Canceled),Candles,Crafts,USD,2016,3000,2016,0,Cancelled,0,US,0,0,3000,26
1020530914,Dark Plague of the Bubonic Kenshi,Comic Books,Comics,USD,2015,500,2015,521,Successful,26,US,521,521,500,35
1020530931,A Drama About Young Refugees & Landmines in a Conflict Zone,Narrative Film,Film & Video,USD,2012,5019,2012,120,Failed,4,US,120,120,5019,30
1020537019,Jen Urban & The Box: Break it down & take it out!,Pop,Music,USD,2013,15000,2013,3476,Failed,66,US,3476,3476,15000,30
1020537879,Help Larry represent his music,Music,Music,USD,2016,1000,2016,100,Failed,1,US,100,100,1000,30
1020543369,MOON - Episode I: Christopher Robin,Film & Video,Film & Video,USD,2011,20000,2011,490,Failed,11,US,490,490,20000,60
1020550233,The Adventures Of Little Layney & Friends,Children's Books,Publishing,USD,2014,3000,2014,0,Failed,0,US,0,0,3000,60
1020550475,LHS Watch Party,Documentary,Film & Video,USD,2017,2000,2017,0,Failed,0,US,0,0,2000,45
1020555066,Drawn Away: A Cartoonist Tours America - a comic travelogue,Comics,Comics,USD,2014,2000,2014,2355,Successful,79,US,2355,2355,2000,30
1020555695,Document Florida's natural Springs,Photography,Photography,USD,2012,25000,2012,60,Failed,3,US,60,60,25000,30
1020566495,Hott Buns Baozi,Food,Food,USD,2011,600,2011,635,Successful,25,US,635,635,600,10
1020566690,SellSafer,Software,Technology,AUD,2015,1200,2015,1,Failed,1,AU,1,1,939,20
1020579966,Dark Allies,Film & Video,Film & Video,USD,2010,3000,2010,3342,Successful,40,US,3342,3342,3000,32
1020580227,Video clip for my next clip TWO SIDES,Electronic Music,Music,AUD,2014,650,2014,670,Successful,19,AU,601,619,601,29
1020585941,Fruity Cakes (Canceled),Food Trucks,Food,USD,2014,15000,2014,0,Cancelled,0,US,0,0,15000,25
1020586343,Hoosier goes to the market,Children's Books,Publishing,USD,2014,1500,2014,50,Failed,2,US,50,50,1500,30
1020591526,The Giant Gear Stick of Grooviness! Illust Book 8-12 yr olds,Children's Books,Publishing,NZD,2015,5000,2015,0,Failed,0,NZ,0,0,3349,30
1020593363,Apocalypse Now: Poems and Prose from the End of Days,Fiction,Publishing,USD,2012,4800,2012,5626,Successful,226,US,5626,5626,4800,24
1020599426,The Netherlands from above,Photography,Photography,EUR,2015,3000,2015,1,Failed,1,NL,1,1,3305,30
1020599945,The ultimate Perfect potato salad,Bacon,Food,CAD,2014,25,2014,0,Failed,0,CA,0,0,23,30
1020603916,"Fear Experiment:Strangers who can't _,will _ in front of 700",Art,Art,USD,2011,4000,2011,5112,Successful,186,US,5112,5112,4000,27
1020609640,Just-Me and Thinking-About-You,Children's Books,Publishing,USD,2017,500,2017,576,Successful,13,US,158,576,500,19
1020611990,Local Noir,Webseries,Film & Video,USD,2013,2000,2013,2265,Successful,40,US,2265,2265,2000,30
1020616269,Fishing For Compliments Playing Cards,Playing Cards,Games,GBP,2014,5900,2014,6049,Successful,214,GB,9483,9465,9232,28
1020617370,LusionBloom - The illusionary gravity defying leaning vase,Product Design,Design,USD,2011,6000,2011,697,Failed,16,US,697,697,6000,70
1020624044,Parody Board Games #gameon,Tabletop Games,Games,USD,2017,500,2017,216,Failed,6,US,45,216,500,35
1020627284,CELTIC INSPIRED: DESIGNED PLAYING CARDS,Graphic Design,Design,USD,2014,5000,2014,1445,Failed,93,US,1445,1445,5000,20
1020628996,Help a Local Band make their first video!,Rock,Music,USD,2013,3000,2013,280,Failed,9,US,280,280,3000,30
1020640352,"Hannuka story The Princess, the Dragon, and the Baker",Children's Books,Publishing,USD,2013,5000,2013,1163,Failed,25,US,1163,1163,5000,30
1020642922,BOT-LOGIC Hexapod with Arduino Powered 30 amp Robot Shield,Hardware,Technology,USD,2013,10000,2013,3508,Failed,18,US,3508,3508,10000,60
1020653179,The Sign of Hope Project,Mixed Media,Art,USD,2011,6500,2011,6852,Successful,27,US,6852,6852,6500,35
1020664017,Fund FREE content on HDWP Books,Publishing,Publishing,USD,2012,10100,2012,510,Failed,6,US,510,510,10100,31
1020665989,Underwater Marine Artworks Collection,Public Art,Art,AUD,2014,18500,2014,636,Failed,5,AU,595,586,17059,30
1020673375,Atlas Road Crew EP,Rock,Music,USD,2012,4000,2012,4467,Successful,93,US,4467,4467,4000,30
1020673767,Save The Bees Seeds 100 Square Feet at a Time!,Farms,Food,CAD,2016,5000,2016,603,Failed,26,CA,426,433,3591,30
1020674060,Don't Die Phone Blocker,Apps,Technology,USD,2016,10000,2015,50,Failed,2,US,50,50,10000,30
1020677842,Muse photography: Tiffany vol. 2-FINE ART PIN UP,Photobooks,Photography,USD,2016,199,2016,815,Successful,14,US,340,815,199,6
1020691020,Mural to Represent the Freedom of Child Slaves,Painting,Art,USD,2013,3000,2013,10,Failed,1,US,10,10,3000,16
1020693166,PlantSnap: The App that Identifies Plants in an Instant,Apps,Technology,USD,2016,65000,2016,2386,Failed,117,US,566,2386,65000,30
1020694104,San Antonio Faces of Art,Photobooks,Photography,USD,2015,21000,2015,6805,Failed,71,US,6805,6805,21000,30
1020704364,Asylum- An insane card game!,Tabletop Games,Games,USD,2013,2000,2013,4320,Successful,134,US,4320,4320,2000,30
1020706655,Help Kathryn Buy Recording Gear!,Pop,Music,USD,2016,1500,2016,110,Failed,6,US,60,110,1500,35
1020713708,LA RONDE L.A. - An Invitation-Only Pilot Production,Theater,Theater,USD,2012,6000,2012,6250,Successful,25,US,6250,6250,6000,30
1020715785,Knits+,DIY,Crafts,USD,2015,900,2015,0,Failed,0,US,0,0,900,30
1020718107,Flying Machines Debut Album,Rock,Music,USD,2015,5000,2015,1,Failed,1,US,1,1,5000,45
1020718177,Your Secret Sauce,Web,Technology,AUD,2017,25000,2017,26136,Successful,144,AU,1775,19721,18864,30
1020744291,Space Buns Pins (With Lanyard Option!),Crafts,Crafts,USD,2017,700,2017,397,Failed,17,US,158,397,700,23
1020745205,WoodBED,DIY,Crafts,EUR,2017,11000,2017,70,Failed,2,DE,22,80,12553,60
1020745465,SECOND CHANCE - DEUXIÈME CHANCE,Shorts,Film & Video,EUR,2015,6000,2015,6388,Successful,17,FR,7255,6955,6532,74
1020747385,"Manchesters Past, Present & Future",Academic,Publishing,GBP,2016,3000,2015,0,Failed,0,GB,0,0,4300,30
1020747660,Flora As A Second Language (A Memoir),Publishing,Publishing,USD,2014,800,2014,1116,Successful,26,US,1116,1116,800,12
1020749444,Tweed Co.,Accessories,Fashion,CHF,2017,20000,2017,28088,Successful,185,CH,717,28635,20390,30
1020757917,Join my mission to create an epic song to inspire girls everywhere.,Country & Folk,Music,USD,2010,5000,2010,90,Failed,5,US,90,90,5000,30
1020765469,Spotlight Still Got It Players - Musical Production,Theater,Theater,USD,2011,2500,2011,256,Failed,15,US,256,256,2500,60
1020778618,OH Christmas Trees,Web,Technology,USD,2016,65000,2016,1256,Failed,18,US,1256,1256,65000,30
1020796755,"Forests for 2mm, 6mm, 10mm & 15mm Wargames",Tabletop Games,Games,GBP,2017,250,2017,1547,Successful,22,GB,117,2087,337,30
1020823456,The Folks of Flint...A Tribute,People,Photography,USD,2017,12000,2017,13008,Successful,107,US,3438,13008,12000,30
1020825218,BRAVE: A Guide to Fearlessness,Apps,Technology,USD,2017,25000,2017,5905,Failed,44,US,470,5905,25000,41
1020826609,"MyBookshelf.xyz Home to Little David, Renkatu and Happy Kat",Children's Books,Publishing,USD,2015,25000,2015,175,Failed,2,US,175,175,25000,47
1020833443,VR Wonders - A first look at VR Tourism (Canceled),Art,Art,EUR,2016,100000,2016,0,Cancelled,0,ES,0,0,114270,60
1020842213,MC Escher/Norman Rockwell Style Interlocking Baseball Poster,Digital Art,Art,USD,2014,4000,2014,0,Cancelled,0,US,0,0,4000,45
1020850057,The Nerds Among Us,Video Games,Games,USD,2012,6000,2012,702,Failed,32,US,702,702,6000,34
1020850482,Judges Guild Deluxe Collector's Edition,Tabletop Games,Games,USD,2016,40000,2016,115112,Successful,874,US,115112,115112,40000,32
1020851909,Everstar (Canceled),Video Games,Games,USD,2014,850000,2014,12003,Cancelled,203,US,12003,12003,850000,32
1020867278,Help fund The Aaron Clift Experiment's second album!,Rock,Music,USD,2014,15000,2014,15494,Successful,113,US,15494,15494,15000,41
1020868422,K. Farley's Card Creations,Crafts,Crafts,USD,2016,250,2016,1,Failed,1,US,1,1,250,14
1020877136,TweS - Heating stand for cups,Product Design,Design,SEK,2016,100000,2016,1062,Failed,6,SE,125,127,11913,40
1020881883,Shabbos Safe Hotplate (So You Can Truly Rest on Shabbat),Food,Food,USD,2015,60500,2015,67141,Successful,706,US,67141,67141,60500,45
1020898549,Dancing in the Snow: Chamber Music by Deborah Kilmer et Alia,Classical Music,Music,USD,2013,2000,2013,2125,Successful,30,US,2125,2125,2000,30
1020899030,Misspent Youth RPG: Sell Out with Me!,Tabletop Games,Games,USD,2017,10000,2017,35652,Successful,988,US,7174,35652,10000,31
1020899760,Persuasive Technologies,Technology,Technology,EUR,2015,38000,2015,67,Failed,1,FR,75,75,42408,21
1020900819,Free internet Radio,Web,Technology,USD,2015,55000,2014,0,Failed,0,US,0,0,55000,30
1020906558,Cellz,Video Games,Games,CAD,2017,5000,2017,1,Failed,1,CA,0,1,3664,43
1020909497,The Michael Merton Network (Canceled),Webseries,Film & Video,USD,2016,4000,2015,50,Cancelled,1,US,50,50,4000,30
1020917076,Declan - A universal accessory to solve a universal problem,Accessories,Fashion,USD,2015,8000,2015,25247,Successful,693,US,25247,25247,8000,35
1020919667,#Bully — How Bullies Win At Everyone Else's Expense,Comedy,Publishing,USD,2017,1000,2017,1605,Successful,41,US,105,1605,1000,30
1020921104,Blame Sydney's Next Album,Music,Music,USD,2013,1500,2013,1571,Successful,35,US,1571,1571,1500,40
1020923940,Task Force: Broadside - A game of Tactical Space Combat,Games,Games,USD,2011,8000,2011,642,Failed,11,US,642,642,8000,64
1020928451,No Scroll Email (Custom Timesaving Email Application),Software,Technology,USD,2009,4500,2009,110,Failed,4,US,110,110,4500,87
1020936867,leaning how to sew costums better (Canceled),Couture,Fashion,USD,2015,3000,2015,0,Cancelled,0,US,0,0,3000,60
1020944838,Printing of Laura Michaels' Album Words of Wisdom.,Country & Folk,Music,USD,2011,5000,2011,5000,Successful,43,US,5000,5000,5000,60
1020945925,Help me Turn Up the Volume on God! with my new book!,Publishing,Publishing,USD,2017,10000,2017,0,Failed,0,US,0,0,10000,30
1020946076,City of Zombies: A Board Game that takes brains to survive,Tabletop Games,Games,GBP,2013,15000,2013,1652,Cancelled,50,GB,2677,2657,24120,30
1020951290,The Secret Hitler Buddy Box,Tabletop Games,Games,CAD,2016,5500,2016,488,Failed,9,CA,360,375,4222,30
1020957507,Android navigation and settings page tools,Software,Technology,AUD,2014,500,2014,10,Failed,1,AU,9,9,470,30
1020957763,M.A.S.K. 31st Anniversary Voice Cast Reunion,Events,Comics,USD,2016,3000,2016,1294,Failed,10,US,979,1294,3000,30
1020969627,Runic Royalty Playing Cards | Updated based on your feedback,Playing Cards,Games,CAD,2017,6000,2017,3725,Failed,100,CA,1136,2779,4476,30
1020972182,Voiceless,Shorts,Film & Video,CAD,2014,1000,2014,1086,Successful,11,CA,977,980,902,18
1020972490,SOLA - What if the last surviving human didn't want to live?,Narrative Film,Film & Video,GBP,2014,6000,2014,6353,Successful,208,GB,10444,10654,10062,30
1020973145,Help Kickstart a New Epic(k) Music Video on Kickstarter,Shorts,Film & Video,USD,2011,1000,2011,1125,Successful,22,US,1125,1125,1000,30
1020980810,Dogfight Elite: A historical MMO flight simulator,Video Games,Games,USD,2013,125000,2013,27060,Failed,324,US,27060,27060,125000,30
1020984423,Fat Pumpkin. Eat yourself happy!,Restaurants,Food,GBP,2014,30000,2014,0,Failed,0,GB,0,0,48102,30
1020994283,Feature film: CONFIDENTIAL from director of Loving Annabelle,Film & Video,Film & Video,USD,2014,100000,2014,105740,Successful,308,US,105740,105740,100000,31
1020994659,"Botanica Restaurant, Market & Magazine",Restaurants,Food,USD,2017,60000,2016,62000,Successful,166,US,2050,62000,60000,40
1020998676,Sundialer ~ The Round Sunbathing and Multi Purpose Mat,Product Design,Design,USD,2012,5000,2012,820,Failed,8,US,820,820,5000,30
1021000826,GROUT EXPRESS - World's Best Tile Grout Cleaner (Canceled),Product Design,Design,USD,2016,22000,2016,96,Cancelled,3,US,96,96,22000,35
1021004814,Wild Image Project 2010 Argentina Expedtion,Photography,Photography,USD,2010,3500,2010,0,Failed,0,US,0,0,3500,90
1021018819,Boba Time! A Collection of Cute Boba Accessories,Crafts,Crafts,USD,2017,6000,2017,1986,Cancelled,49,US,623,1986,6000,22
1021025186,Peak Clothing,Apparel,Fashion,GBP,2017,1500,2017,160,Failed,4,GB,19,208,1949,30
1021025528,Tabletop Adapters,Tabletop Games,Games,DKK,2015,50000,2015,22565,Failed,81,DK,3182,3271,7247,28
1021036120,Nu Water,Drinks,Food,CAD,2015,20000,2015,10,Failed,1,CA,8,8,16063,30
1021042715,The Boxford Masques 'Joe Soap's Masquerade',Theater,Theater,GBP,2014,1000,2014,85,Failed,4,GB,144,144,1699,30
1021062253,ATNAS the South Pole Elf - Children's Book,Children's Books,Publishing,USD,2016,3098,2016,3098,Successful,68,US,176,3098,3098,12
1021063280,Voice Kite: Photo & Voice Legacy Preservation System,Software,Technology,USD,2014,10000,2014,11018,Successful,154,US,11018,11018,10000,30
1021067368,GLHF: A Canadian 'eSports' Story (Toronto Premiere),Documentary,Film & Video,CAD,2014,300,2014,386,Successful,22,CA,353,361,281,18
1021070285,ONE LAST RUN records with FAME!,Rock,Music,USD,2013,7000,2013,7321,Successful,61,US,7321,7321,7000,24
1021071422,Step into Now Hear it. Live it with Utah Girl.,Country & Folk,Music,USD,2011,10000,2011,10770,Successful,125,US,10770,10770,10000,45
1021078725,ADULT DOCUMENTARY,Performances,Dance,USD,2016,8000,2016,8282,Successful,148,US,8282,8282,8000,24
1021080772,"Easy Battery, Hardware, Accessory Repair and Recycle Service",Technology,Technology,USD,2015,10000,2015,0,Failed,0,US,0,0,10000,30
1021098415,Zombie Head Bowling,Mobile Games,Games,USD,2016,3000,2016,60,Failed,2,US,60,60,3000,30
1021103868,The Recipe Game,Playing Cards,Games,CAD,2015,1700,2015,196,Failed,16,CA,162,157,1360,32
1021105368,Kampf gegen das Bünzlitum,Tabletop Games,Games,CHF,2015,15000,2015,25001,Successful,415,CH,26004,25080,15047,60
1021110281,the Sound of Abandon,Photobooks,Photography,EUR,2015,2000,2015,140,Failed,2,IT,158,153,2188,30
1021119939,Move Anno Domini into Preproduction.,Film & Video,Film & Video,USD,2013,55555,2013,2100,Failed,10,US,2100,2100,55555,28
1021133078,Palketto: Lifts you up above the show!,Product Design,Design,EUR,2016,42000,2016,241,Cancelled,8,IT,0,272,47326,60
1021135750,beteSTRONG CASES | Waterproof case for Type One Diabetics,Product Design,Design,USD,2016,60000,2016,22356,Failed,52,US,22356,22356,60000,46
1021144570,Taiyaki Enamel Pin,Accessories,Fashion,USD,2017,300,2017,388,Successful,23,US,136,388,300,30
1021151231,Cigar Throttle: Smoke a Cigar While Riding Your Motorcycle.,Gadgets,Technology,USD,2014,13000,2014,925,Failed,13,US,925,925,13000,30
1021162464,Mutiny,Tabletop Games,Games,CAD,2013,2150,2013,1293,Failed,31,CA,1242,1245,2070,30
1021166696,I want to record a solo album The Natural  and I will,Pop,Music,USD,2014,10000,2014,25,Failed,1,US,25,25,10000,45
1021169510,Allium Market and Café Final Funding!,Food,Food,USD,2017,30000,2017,30054,Successful,222,US,355,30054,30000,50
1021174954,The Week At Night (Jazzalbum),Jazz,Music,EUR,2017,6000,2017,0,Cancelled,0,DE,0,0,7059,45
1021188582,Island Fortress,Tabletop Games,Games,USD,2012,15000,2011,19829,Successful,244,US,19829,19829,15000,58
1021188689,Core Fresh Bar - Local Vegan Fresh Bar,Vegan,Food,CAD,2017,10000,2017,3,Failed,3,CA,0,2,7422,30
1021195612,Admissions,Film & Video,Film & Video,USD,2012,5000,2012,5226,Successful,74,US,5226,5226,5000,45
1021196058,Chinese Mandarin Characters The Adventures of Zhui Ya,Publishing,Publishing,USD,2016,1000,2016,2319,Successful,27,US,372,2319,1000,45
1021200178,"Miles & Trials: Dream Big, Run Fast",Documentary,Film & Video,USD,2012,1200,2011,1835,Successful,19,US,1835,1835,1200,47
1021202066,NGUNS! Never Give Up Never Surrender!,Graphic Design,Design,USD,2015,16000,2015,0,Failed,0,US,0,0,16000,30
1021205843,A Touch of Class: 7 New Classes for 5th Edition,Tabletop Games,Games,GBP,2017,1000,2017,67671,Successful,2453,GB,7638,87563,1294,32
1021206763,Local Ghost Haunts - Season 2,Webseries,Film & Video,USD,2011,10000,2011,0,Failed,0,US,0,0,10000,60
1021233626,"Wounded Hearts, Warming Hearts, Open Hearts, Pure Hearts",Poetry,Publishing,USD,2015,10000,2015,330,Failed,4,US,330,330,10000,30
1021236216,Conduct the SC Phil - Off the stage and into the streets,Classical Music,Music,USD,2015,5000,2015,7005,Successful,32,US,7005,7005,5000,30
1021237183,Revealing the Subconscious,Digital Art,Art,USD,2014,3500,2014,892,Failed,18,US,892,892,3500,30
1021241055,City of Iron,Tabletop Games,Games,USD,2012,30000,2012,44703,Successful,795,US,44703,44703,30000,50
1021245163,Day 165: A Supernatural War Comic,Comics,Comics,USD,2016,2000,2016,2565,Successful,126,US,826,2565,2000,30
1021262707,Matts Last Hoora (Canceled),Documentary,Film & Video,CAD,2016,3000,2015,0,Cancelled,0,CA,0,0,2182,36
1021264368,JEFFREE 24SEVEN - First Solo Album,Hip-Hop,Music,USD,2012,3000,2012,3000,Successful,21,US,3000,3000,3000,30
1021264555,Purple Pixie Studio,Interactive Design,Design,USD,2015,50000,2015,1722,Failed,14,US,1722,1722,50000,35
1021266823,The Fox & Bear debut EP mix and master.,Rock,Music,USD,2012,1750,2012,1780,Successful,37,US,1780,1780,1750,30
1021283887,Made In Hawaii! Bronze foundry fundraiser!,Sculpture,Art,USD,2015,65000,2015,915,Failed,12,US,915,915,65000,30
1021298042,Huntercombe Barn Events & Weddings,Architecture,Design,GBP,2014,80000,2014,2,Failed,1,GB,3,3,130725,50
1021309408,APTEKA: Eastern European Kitchen + Bar,Restaurants,Food,USD,2015,40000,2015,50200,Successful,430,US,50200,50200,40000,31
1021316521,Temper Music Group  - Industry Veterans Taking Music Back,Music,Music,USD,2012,10000,2011,0,Cancelled,0,US,0,0,10000,31
1021322369,Capped,Product Design,Design,USD,2014,20000,2014,4720,Failed,166,US,4720,4720,20000,40
1021334183,SWIM IN STYLE,Fashion,Fashion,USD,2013,23000,2013,1082,Failed,19,US,1082,1082,23000,37
1021339834,T.L. Tripp Photography: A Photo A Day Blog,Photography,Photography,USD,2012,1300,2012,0,Failed,0,US,0,0,1300,39
1021341417,CPBAJ Handcrafted furniture and jewelry.,Accessories,Fashion,USD,2016,5000,2016,6,Failed,2,US,6,6,5000,45
1021348106,Equipment Kick,Rock,Music,USD,2014,4000,2014,35,Failed,3,US,35,35,4000,31
1021348227,"FOMA Seeks a Mastodon, Doo Dah, Doo Dah.",World Music,Music,USD,2015,750,2015,185,Failed,7,US,185,185,750,30
1021349178,"Sierra and the Nomads, The EP",Music,Music,USD,2012,2000,2012,2320,Successful,35,US,2320,2320,2000,30
1021350302,Social Network for People Nearby,Web,Technology,GBP,2017,3000,2016,130,Failed,3,GB,19,162,3727,60
1021354885,Desire to win - Lila in Rue de la Huchette,Art Books,Publishing,AUD,2017,10000,2017,1531,Failed,14,AU,0,1175,7675,45
1021363102,D. Antonio de Torres: 200 years of the father of the guitar,Documentary,Film & Video,EUR,2017,5000,2017,5926,Successful,66,ES,604,6765,5708,31
1021375350,Moments A book of poetry and prose to inspire emotion,Poetry,Publishing,USD,2014,2700,2014,50,Failed,2,US,50,50,2700,30
1021380645,LEGEND,Fiction,Publishing,CAD,2014,10000,2014,105,Failed,2,CA,99,96,9161,30
1021385877,SAGE VENOM - let's kickstart this short film!,Shorts,Film & Video,USD,2017,5000,2017,5805,Successful,48,US,2770,5805,5000,8
1021388557,BITE: Never break or lose your Apple EarPods again!,Product Design,Design,USD,2015,4000,2014,870,Failed,93,US,870,870,4000,31
1021390452,Fucking Outside the Box at VAULT festival 2014,Theater,Theater,GBP,2013,700,2013,700,Successful,36,GB,1128,1139,1139,20
1021393426,MILE... MILE & A HALF (a feature documentary),Documentary,Film & Video,USD,2012,78100,2012,85405,Successful,814,US,85405,85405,78100,60
1021401211,Second Life Night Vale Community Project,Live Games,Games,USD,2015,20000,2015,1,Failed,1,US,1,1,20000,30
1021401486,HOUND  Feature Film,Experimental,Film & Video,GBP,2015,100,2015,0,Failed,0,GB,0,0,157,28
